     Media	   Mediana	     Range	  Distance	      Tmax	      dm15	      Jmax	      Hmax	    Tmax-J	    Tmax-H
   9.61170	   9.61170	  35.98000	   9.61170	 278.37738	   1.09053	  15.57914	  15.82875	  -4.45831	  -4.61001
  10.58670	  10.58670	  34.05000	  17.02500	 278.35704	   1.08988	  15.52589	  15.73637	  -4.47906	  -4.63022
  -7.40330	  -7.40330	   1.95000	   0.97500	 278.37762	   1.09070	  15.60176	  15.81292	  -4.45794	  -4.60980
  -7.88830	  -7.88830	   2.92000	   1.46000	 278.38222	   1.09137	  15.59610	  15.78451	  -4.45294	  -4.60537
   7.57170	   7.57170	  30.00000	   7.57170	 278.36040	   1.08986	  15.58127	  15.75401	  -4.47570	  -4.62686
   7.09670	   7.09670	  30.95000	  15.47500	 278.36921	   1.09029	  15.59766	  15.79805	  -4.46664	  -4.61813
  -3.38330	  -3.38330	  11.93000	   5.96500	 278.44495	   1.09288	  15.52223	  15.82286	  -4.38925	  -4.54300
  -6.92330	  -6.92330	   0.97000	   0.48500	 278.35667	   1.08941	  15.56863	  15.76684	  -4.47973	  -4.63052
   9.12670	   9.12670	  36.95000	  18.47500	 278.38802	   1.09148	  15.59453	  15.82347	  -4.44708	  -4.59958
   7.57670	   7.57670	  30.01000	   7.57670	 278.36082	   1.08991	  15.57981	  15.75345	  -4.47525	  -4.62646
   8.07670	   8.07670	  29.01000	  14.50500	 278.35472	   1.08955	  15.53688	  15.73174	  -4.48159	  -4.63247
   8.07170	   8.07170	  29.02000	  14.51000	 278.35463	   1.08960	  15.53551	  15.70729	  -4.48166	  -4.63260
  -7.88830	  -7.88830	   2.92000	   1.46000	 278.38177	   1.09112	  15.59143	  15.80722	  -4.45355	  -4.60577
  -8.86330	  -8.86330	   0.97000	   0.48500	 278.35752	   1.08961	  15.66840	  15.89802	  -4.47876	  -4.62970
  -4.40830	  -4.40830	   6.00000	   3.00000	 278.39947	   1.09089	  15.50532	  15.77664	  -4.43600	  -4.58801
  -3.38330	  -3.38330	  11.93000	   3.38330	 278.44495	   1.09288	  15.52223	  15.82286	  -4.38925	  -4.54300
  -6.92830	  -6.92830	   1.00000	   0.50000	 278.35781	   1.08952	  15.57994	  15.78115	  -4.47851	  -4.62939
  -6.93330	  -6.93330	   0.99000	   0.49500	 278.35866	   1.08955	  15.57907	  15.76124	  -4.47766	  -4.62854
  -6.91830	  -6.91830	   0.98000	   0.49000	 278.35580	   1.08938	  15.56948	  15.78658	  -4.48062	  -4.63137
  10.59170	  10.59170	  34.04000	  17.02000	 278.35767	   1.08975	  15.52721	  15.76245	  -4.47851	  -4.62957
  -4.40830	  -4.40830	   6.00000	   3.00000	 278.39947	   1.09089	  15.50532	  15.77664	  -4.43600	  -4.58801
  -8.86330	  -8.86330	   0.97000	   0.48500	 278.35752	   1.08961	  15.66840	  15.89802	  -4.47876	  -4.62970
   7.10170	   7.10170	  30.96000	  15.48000	 278.36991	   1.09036	  15.59560	  15.79692	  -4.46588	  -4.61746
  -7.89330	  -7.89330	   0.97000	   0.48500	 278.35750	   1.08954	  15.60758	  15.83340	  -4.47882	  -4.62970
  -4.42330	  -4.42330	   6.01000	   3.00500	 278.40750	   1.09117	  15.51958	  15.74030	  -4.42779	  -4.58004
   6.61670	   6.61670	  31.93000	  15.96500	 278.38049	   1.09124	  15.63442	  15.78399	  -4.45474	  -4.60705
  -5.37830	  -5.37830	   7.94000	   3.97000	 278.44230	   1.09430	  15.51207	  15.79639	  -4.39102	  -4.54602
  13.09670	  13.09670	  29.01000	  14.50500	 278.34606	   1.08912	  15.41822	  15.73725	  -4.49054	  -4.64108
  -8.86330	  -8.86330	   0.97000	   0.48500	 278.35333	   1.08927	  15.69262	  15.89854	  -4.48315	  -4.63382
  -3.91830	  -3.91830	   5.02000	   2.51000	 278.38281	   1.09014	  15.49934	  15.75274	  -4.45312	  -4.60452
  -1.92330	  -1.92330	   9.01000	   4.50500	 278.39151	   1.08952	  15.50319	  15.76134	  -4.44482	  -4.59570
  -2.90330	  -2.90330	  10.95000	   5.47500	 278.42603	   1.09111	  15.52900	  15.79098	  -4.40930	  -4.56149
   9.12670	   9.12670	  36.95000	   9.12670	 278.38988	   1.09168	  15.60839	  15.82345	  -4.44507	  -4.59778
  -3.92330	  -3.92330	   5.01000	   2.50500	 278.38379	   1.09008	  15.50316	  15.72532	  -4.45218	  -4.60351
  25.09170	  25.09170	   5.02000	  25.09170	 278.35146	   1.08922	  15.21534	  15.67371	  -4.48504	  -4.63568
  12.57670	  12.57670	  19.99000	  12.57670	 278.34418	   1.08923	  15.37015	  15.71894	  -4.49234	  -4.64297
  -4.89330	  -4.89330	   6.97000	   3.48500	 278.44089	   1.09334	  15.52697	  15.80372	  -4.39303	  -4.54718
  25.08670	  25.08670	   5.03000	  25.08670	 278.35150	   1.08922	  15.21972	  15.67407	  -4.48501	  -4.63565
