      Jmax	       s.z	    Nombre
  17.12683	   0.03340	  SN2008gp
  14.31732	   0.00940	   SN2009Y
  16.81627	   0.02840	  SN2009ad
  13.05293	   0.00650	  SN2007on
  16.04434	   0.01920	  SN2005ki
  15.35834	   0.01350	   SN2008R
  15.47661	   0.01510	  SN2005kc
  12.68107	   0.00520	   SN2006X
  16.82994	   0.02900	  SN2005eq
  16.41775	   0.02190	  SN2008ia
  16.76588	   0.02730	  SN2009aa
  16.67282	   0.02610	  SN2008ar
  15.70141	   0.01670	  SN2006ax
  17.28193	   0.03790	  SN2008hj
  14.78798	   0.01090	  SN2006bh
  17.18085	   0.03280	  SN2006os
  17.11246	   0.03400	  SN2008gl
  15.71992	   0.01410	  SN2007ca
  13.48464	   0.00570	  SN2008fp
  18.40173	   0.05920	  SN2006ob
  16.31387	   0.02500	   SN2009D
  17.26866	   0.03400	  SN2005iq
  15.51119	   0.01580	  SN2004ey
  17.83404	   0.04590	  SN2005hc
  14.73450	   0.00860	  SN2009ag
  17.15616	   0.02840	  SN2006gj
  15.80136	   0.01770	   SN2007A
  13.75173	   0.00670	  SN2007le
  17.58260	   0.03710	  SN2007jg
  16.41359	   0.02350	  SN2008bf
  15.27002	   0.01260	  SN2008hv
  15.61415	   0.01510	  SN2008bc
  15.36511	   0.01390	   SN2007S
  17.23851	   0.03170	  SN2007ai
  16.19666	   0.02080	  SN2007bc
  17.53262	   0.03890	   SN2008O
  15.91536	   0.01930	  SN2009ds
  16.42056	   0.02130	  SN2006kf
  16.97140	   0.03090	  SN2007bd
  13.45125	   0.00550	  SN2007af
  13.77067	   0.00620	  SN2007bm
  17.63573	   0.04550	  SN2006hx
  16.42845	   0.02200	   SN2005M
  16.09664	   0.02260	  SN2006et
  17.60869	   0.04500	  SN2007nq
  15.38943	   0.01570	  SN2004eo
  15.50568	   0.01490	  SN2005el
  16.17140	   0.02110	  SN2009cz
  15.14125	   0.01120	  SN2009ab
  15.83154	   0.01760	  SN2007as
