      Jmax	       s.z	    Nombre
  17.08420	   0.03340	  SN2008gp
  14.26775	   0.00940	   SN2009Y
  16.72498	   0.02840	  SN2009ad
  13.01728	   0.00650	  SN2007on
  16.05965	   0.01920	  SN2005ki
  15.49560	   0.01510	  SN2005kc
  12.84713	   0.00520	   SN2006X
  16.67475	   0.02900	  SN2005eq
  16.40466	   0.02190	  SN2008ia
  16.66700	   0.02610	  SN2008ar
  15.72016	   0.01670	  SN2006ax
  17.25167	   0.03790	  SN2008hj
  14.78340	   0.01090	  SN2006bh
  17.15584	   0.03280	  SN2006os
  17.08547	   0.03400	  SN2008gl
  15.77233	   0.01410	  SN2007ca
  13.52629	   0.00570	  SN2008fp
  18.37663	   0.05920	  SN2006ob
  16.33197	   0.02500	   SN2009D
  17.30936	   0.03400	  SN2005iq
  15.48395	   0.01580	  SN2004ey
  17.09903	   0.02840	  SN2006gj
  15.72493	   0.01770	   SN2007A
  13.73390	   0.00670	  SN2007le
  16.38806	   0.02350	  SN2008bf
  15.23975	   0.01260	  SN2008hv
  15.58190	   0.01510	  SN2008bc
  15.31152	   0.01390	   SN2007S
  17.23195	   0.03170	  SN2007ai
  16.19170	   0.02080	  SN2007bc
  17.54349	   0.03890	   SN2008O
  16.42392	   0.02130	  SN2006kf
  16.97821	   0.03090	  SN2007bd
  13.48426	   0.00550	  SN2007af
  13.81963	   0.00620	  SN2007bm
  16.31998	   0.02200	   SN2005M
  16.05770	   0.02260	  SN2006et
  17.58766	   0.04500	  SN2007nq
  15.40723	   0.01570	  SN2004eo
  15.47742	   0.01490	  SN2005el
  16.14828	   0.02110	  SN2009cz
  15.15723	   0.01120	  SN2009ab
  15.80978	   0.01760	  SN2007as
