      Jmax	       s.z	    Nombre
  17.10306	   0.03340	  SN2008gp
  14.43328	   0.00940	   SN2009Y
  16.74730	   0.02840	  SN2009ad
  13.07234	   0.00650	  SN2007on
  16.09757	   0.01920	  SN2005ki
  15.47568	   0.01510	  SN2005kc
  12.87778	   0.00520	   SN2006X
  16.72116	   0.02900	  SN2005eq
  16.40540	   0.02190	  SN2008ia
  16.74034	   0.02730	  SN2009aa
  16.69178	   0.02610	  SN2008ar
  15.69912	   0.01670	  SN2006ax
  17.29802	   0.03790	  SN2008hj
  14.80934	   0.01090	  SN2006bh
  17.18914	   0.03280	  SN2006os
  17.07857	   0.03400	  SN2008gl
  15.63042	   0.01410	  SN2007ca
  13.50233	   0.00570	  SN2008fp
  18.33926	   0.05920	  SN2006ob
  16.35538	   0.02500	   SN2009D
  17.20517	   0.03400	  SN2005iq
  15.50080	   0.01580	  SN2004ey
  17.76512	   0.04590	  SN2005hc
  14.79374	   0.00860	  SN2009ag
  17.08237	   0.02840	  SN2006gj
  15.72379	   0.01770	   SN2007A
  13.75648	   0.00670	  SN2007le
  17.60427	   0.03710	  SN2007jg
  16.40541	   0.02350	  SN2008bf
  15.23832	   0.01260	  SN2008hv
  15.61979	   0.01510	  SN2008bc
  15.34279	   0.01390	   SN2007S
  17.18861	   0.03170	  SN2007ai
  16.22548	   0.02080	  SN2007bc
  17.53610	   0.03890	   SN2008O
  15.86348	   0.01930	  SN2009ds
  16.36510	   0.02130	  SN2006kf
  16.99712	   0.03090	  SN2007bd
  13.47331	   0.00550	  SN2007af
  13.86218	   0.00620	  SN2007bm
  17.61161	   0.04550	  SN2006hx
  16.40774	   0.02200	   SN2005M
  16.08856	   0.02260	  SN2006et
  17.46086	   0.04500	  SN2007nq
  15.51823	   0.01570	  SN2004eo
  15.50372	   0.01490	  SN2005el
  16.17989	   0.02110	  SN2009cz
  15.14572	   0.01120	  SN2009ab
  15.83234	   0.01760	  SN2007as
