     Epoca	         m	         n	    Nombre
1934.89000	   1.00000	   2.00000	   SN2009Y
1937.78000	   1.00000	   2.00000	   SN2009Y
1937.77000	   2.00000	   2.00000	   SN2009Y
1919.93000	   2.00000	   2.00000	   SN2009Y
1934.90000	   3.00000	   2.00000	   SN2009Y
1937.78000	   3.00000	   2.00000	   SN2009Y
1901.82000	   4.00000	   2.00000	   SN2009Y
1919.93000	   4.00000	   2.00000	   SN2009Y
1937.77000	   5.00000	   2.00000	   SN2009Y
1934.89000	   5.00000	   2.00000	   SN2009Y
1919.93000	   6.00000	   2.00000	   SN2009Y
1937.78000	   6.00000	   2.00000	   SN2009Y
1937.78000	   7.00000	   2.00000	   SN2009Y
1872.83000	   7.00000	   2.00000	   SN2009Y
1929.91000	   8.00000	   2.00000	   SN2009Y
1956.81000	   8.00000	   2.00000	   SN2009Y
1937.78000	   9.00000	   2.00000	   SN2009Y
1934.89000	   9.00000	   2.00000	   SN2009Y
1929.91000	  10.00000	   2.00000	   SN2009Y
1965.68000	  10.00000	   2.00000	   SN2009Y
1934.89000	  11.00000	   2.00000	   SN2009Y
1937.78000	  11.00000	   2.00000	   SN2009Y
1891.89000	  12.00000	   2.00000	   SN2009Y
1956.81000	  12.00000	   2.00000	   SN2009Y
1937.77000	  13.00000	   2.00000	   SN2009Y
1872.83000	  13.00000	   2.00000	   SN2009Y
1887.84000	  14.00000	   2.00000	   SN2009Y
1875.84000	  14.00000	   2.00000	   SN2009Y
1872.84000	  15.00000	   2.00000	   SN2009Y
1937.77000	  15.00000	   2.00000	   SN2009Y
1887.57000	   1.00000	   2.00000	  SN2009ad
1919.54000	   1.00000	   2.00000	  SN2009ad
1887.57000	   2.00000	   2.00000	  SN2009ad
1894.53000	   2.00000	   2.00000	  SN2009ad
1891.58000	   3.00000	   2.00000	  SN2009ad
1882.55000	   3.00000	   2.00000	  SN2009ad
1894.53000	   4.00000	   2.00000	  SN2009ad
1899.53000	   4.00000	   2.00000	  SN2009ad
1899.53000	   5.00000	   2.00000	  SN2009ad
1891.59000	   5.00000	   2.00000	  SN2009ad
1889.57000	   6.00000	   2.00000	  SN2009ad
1890.57000	   6.00000	   2.00000	  SN2009ad
1890.57000	   7.00000	   2.00000	  SN2009ad
1894.53000	   7.00000	   2.00000	  SN2009ad
1889.57000	   8.00000	   2.00000	  SN2009ad
1899.53000	   8.00000	   2.00000	  SN2009ad
1912.55000	   9.00000	   2.00000	  SN2009ad
1882.54000	   9.00000	   2.00000	  SN2009ad
1889.58000	  10.00000	   2.00000	  SN2009ad
1887.58000	  10.00000	   2.00000	  SN2009ad
1899.53000	  11.00000	   2.00000	  SN2009ad
1887.58000	  11.00000	   2.00000	  SN2009ad
1894.54000	  12.00000	   2.00000	  SN2009ad
1889.58000	  12.00000	   2.00000	  SN2009ad
1890.57000	  13.00000	   2.00000	  SN2009ad
1887.57000	  13.00000	   2.00000	  SN2009ad
1890.57000	  14.00000	   2.00000	  SN2009ad
1887.57000	  14.00000	   2.00000	  SN2009ad
1912.54000	  15.00000	   2.00000	  SN2009ad
1882.55000	  15.00000	   2.00000	  SN2009ad
1892.53000	  16.00000	   2.00000	  SN2009ad
1882.55000	  16.00000	   2.00000	  SN2009ad
1912.55000	  17.00000	   2.00000	  SN2009ad
1887.58000	  17.00000	   2.00000	  SN2009ad
1912.54000	  18.00000	   2.00000	  SN2009ad
1894.53000	  18.00000	   2.00000	  SN2009ad
1887.57000	  19.00000	   2.00000	  SN2009ad
1891.58000	  19.00000	   2.00000	  SN2009ad
1882.54000	  20.00000	   2.00000	  SN2009ad
1887.58000	  20.00000	   2.00000	  SN2009ad
