     epoca	  magH-ref	    Nombre
  -9.44612	   0.28351	  SN2008gp
  -9.43644	   0.63151	  SN2008gp
  -7.55914	   0.32451	  SN2008gp
  -7.54947	   0.43351	  SN2008gp
  -0.75636	   0.23751	  SN2008gp
  -0.75636	  -0.03449	  SN2008gp
   1.13062	   0.49251	  SN2008gp
   1.13062	   0.41451	  SN2008gp
   4.99166	   0.77351	  SN2008gp
  11.76542	   0.81151	  SN2008gp
  11.77509	   0.62851	  SN2008gp
  14.66845	   0.65551	  SN2008gp
  20.46485	   0.45251	  SN2008gp
  20.47453	   0.74851	  SN2008gp
  31.95121	   0.41951	  SN2008gp
  31.96089	   0.45351	  SN2008gp
  41.67639	   0.78151	  SN2008gp
  -1.19081	   0.36856	   SN2009Y
  -1.18090	   0.33656	   SN2009Y
  10.68754	   0.76656	   SN2009Y
  10.69744	   0.73956	   SN2009Y
  14.70973	   0.70656	   SN2009Y
  14.71964	   0.66556	   SN2009Y
  24.54726	   0.32556	   SN2009Y
  24.55716	   0.32556	   SN2009Y
  36.54448	   0.70756	   SN2009Y
  42.47870	   1.04856	   SN2009Y
  42.48861	   0.99856	   SN2009Y
  44.46008	   1.14856	   SN2009Y
  52.36576	   1.44056	   SN2009Y
  52.37567	   1.38856	   SN2009Y
  84.85041	   2.72256	   SN2009Y
  84.85041	   2.84356	   SN2009Y
  87.80266	   2.97056	   SN2009Y
  87.81256	   2.94556	   SN2009Y
  -4.17278	   0.25456	   SN2009Y
  -4.16287	   0.23556	   SN2009Y
  57.30929	   1.58856	   SN2009Y
  57.31920	   1.58556	   SN2009Y
  60.16247	   1.72556	   SN2009Y
  60.17238	   1.75156	   SN2009Y
  79.02516	   2.56956	   SN2009Y
  79.02516	   2.54756	   SN2009Y
  -4.22513	   0.05827	  SN2009ad
  -4.21540	   0.20027	  SN2009ad
   0.66597	   0.35227	  SN2009ad
   0.67569	   0.17827	  SN2009ad
   2.61074	   0.57927	  SN2009ad
   2.62046	   0.46427	  SN2009ad
   3.58312	   0.43527	  SN2009ad
   5.48899	   0.49327	  SN2009ad
   5.49872	   0.56927	  SN2009ad
   7.43376	   0.51127	  SN2009ad
   7.44349	   0.63927	  SN2009ad
  12.29568	   0.92127	  SN2009ad
  12.29568	   0.67227	  SN2009ad
  24.94640	   0.36627	  SN2009ad
  24.95613	   0.30927	  SN2009ad
  31.75309	   0.00027	  SN2009ad
  31.77254	   0.15927	  SN2009ad
  -8.02590	   0.30399	  SN2005ki
  -4.12088	   0.00299	  SN2005ki
   2.77669	   0.50199	  SN2005ki
   2.77669	   0.47899	  SN2005ki
   3.74804	   0.49699	  SN2005ki
   3.75785	   0.55499	  SN2005ki
   8.67347	   0.78299	  SN2005ki
   9.64482	   0.74599	  SN2005ki
   9.64482	   0.80299	  SN2005ki
  11.62677	   0.79599	  SN2005ki
  11.63658	   0.80699	  SN2005ki
  13.58909	   0.67199	  SN2005ki
  13.59890	   0.69699	  SN2005ki
  43.99529	   1.58599	  SN2005ki
  44.00510	   1.56499	  SN2005ki
  49.85283	   1.83799	  SN2005ki
  49.86264	   1.84599	  SN2005ki
  -9.64139	   0.43206	  SN2005kc
  -9.63154	   0.47606	  SN2005kc
  -6.67617	   0.14106	  SN2005kc
  -6.67617	   0.08906	  SN2005kc
  -4.70592	   0.03006	  SN2005kc
  -4.69607	   0.01806	  SN2005kc
  -1.79980	   0.11906	  SN2005kc
  -1.78995	   0.12406	  SN2005kc
   3.17508	   0.37306	  SN2005kc
   3.18493	   0.35906	  SN2005kc
   7.07617	   0.53506	  SN2005kc
   7.07617	   0.52906	  SN2005kc
  12.03135	   0.56306	  SN2005kc
  12.03135	   0.50206	  SN2005kc
  15.99155	   0.37306	  SN2005kc
  16.00140	   0.36406	  SN2005kc
   1.71977	   0.49551	  SN2005eq
   1.72948	   0.33151	  SN2005eq
   5.59732	   0.43751	  SN2005eq
   5.60704	   0.48551	  SN2005eq
   9.49431	   0.43451	  SN2005eq
  13.41073	   0.56551	  SN2005eq
  17.31743	   0.76151	  SN2005eq
  17.32715	   0.54151	  SN2005eq
  22.18624	   0.33051	  SN2005eq
  25.06282	   0.36751	  SN2005eq
  36.68575	   0.48751	  SN2005eq
  36.69547	   0.26851	  SN2005eq
  -1.04019	   0.19551	  SN2005eq
  -1.85607	  -0.03434	  SN2008ia
  -0.77965	   0.02066	  SN2008ia
  -0.76986	  -0.01334	  SN2008ia
   2.10713	   0.25766	  SN2008ia
   2.11692	   0.21266	  SN2008ia
   3.06613	   0.18366	  SN2008ia
   3.07592	   0.17366	  SN2008ia
   9.87697	   0.46866	  SN2008ia
  14.77961	   0.49866	  SN2008ia
  14.78939	   0.41266	  SN2008ia
  19.65288	   0.16866	  SN2008ia
  19.66267	   0.12566	  SN2008ia
  33.39200	   0.52566	  SN2008ia
  33.40178	   0.37666	  SN2008ia
  40.33005	   0.99566	  SN2008ia
  40.34962	   1.06966	  SN2008ia
  43.15812	   1.19966	  SN2008ia
  43.16790	   1.24466	  SN2008ia
  26.51265	   0.45666	  SN2008ia
  26.52244	   0.47666	  SN2008ia
  27.44229	   0.54266	  SN2008ia
  27.45208	   0.55266	  SN2008ia
  29.41900	   0.68766	  SN2008ia
  29.42879	   0.70066	  SN2008ia
  57.81709	   2.01666	  SN2008ia
  57.82687	   2.03066	  SN2008ia
  59.72530	   2.13066	  SN2008ia
  59.74487	   1.99766	  SN2008ia
  -9.78522	   0.34005	  SN2009aa
  -9.77549	   0.42305	  SN2009aa
