     epoca	  magJ-ref	    Nombre
  -9.44612	   0.42617	  SN2008gp
  -9.43644	   0.50317	  SN2008gp
  -7.55914	   0.16117	  SN2008gp
  -7.54947	   0.20517	  SN2008gp
  -0.75636	  -0.01583	  SN2008gp
   1.13062	   0.18517	  SN2008gp
   1.13062	   0.17517	  SN2008gp
   4.99166	   0.48117	  SN2008gp
   4.99166	   0.54917	  SN2008gp
  11.76542	   1.41817	  SN2008gp
  11.77509	   1.52917	  SN2008gp
  14.66845	   1.47517	  SN2008gp
  14.66845	   1.37217	  SN2008gp
  20.46485	   1.24817	  SN2008gp
  20.47453	   1.44317	  SN2008gp
  31.95121	   0.99317	  SN2008gp
  31.96089	   0.95817	  SN2008gp
  41.67639	   1.54517	  SN2008gp
  62.82986	   3.25417	  SN2008gp
  -4.17278	   0.20768	   SN2009Y
  -4.16287	   0.19268	   SN2009Y
  57.30929	   3.06768	   SN2009Y
  57.31920	   3.01868	   SN2009Y
  60.16247	   3.22168	   SN2009Y
  60.17238	   3.22568	   SN2009Y
  -4.22513	  -0.06627	  SN2009ad
  -4.21540	  -0.03927	  SN2009ad
   0.66597	   0.10673	  SN2009ad
   0.67569	   0.13173	  SN2009ad
   2.61074	   0.23373	  SN2009ad
   3.58312	   0.29773	  SN2009ad
   3.58312	   0.31773	  SN2009ad
   4.56523	   0.40473	  SN2009ad
   4.57495	   0.47173	  SN2009ad
   5.48899	   0.59873	  SN2009ad
   7.43376	   0.84573	  SN2009ad
  12.29568	   1.51773	  SN2009ad
  12.29568	   1.59973	  SN2009ad
  14.26962	   1.54573	  SN2009ad
  24.94640	   1.19873	  SN2009ad
  24.95613	   1.32073	  SN2009ad
  31.75309	   0.92073	  SN2009ad
  -9.02669	   0.60566	  SN2005ki
  -9.01688	   0.59966	  SN2005ki
  -4.12088	   0.04366	  SN2005ki
  -4.12088	   0.01866	  SN2005ki
  -0.17661	   0.23166	  SN2005ki
   2.77669	   0.47366	  SN2005ki
   2.77669	   0.57966	  SN2005ki
   3.74804	   0.62766	  SN2005ki
   3.75785	   0.63966	  SN2005ki
   8.67347	   1.63766	  SN2005ki
   8.67347	   1.69266	  SN2005ki
   9.64482	   1.77366	  SN2005ki
   9.64482	   1.78366	  SN2005ki
  18.48509	   1.48966	  SN2005ki
  18.49490	   1.46766	  SN2005ki
  26.34419	   1.34366	  SN2005ki
  26.34419	   1.22366	  SN2005ki
  43.99529	   2.75966	  SN2005ki
  44.00510	   2.85966	  SN2005ki
  49.85283	   3.42266	  SN2005ki
  49.86264	   3.32866	  SN2005ki
  -9.64139	   0.56839	  SN2005kc
  -9.63154	   0.48639	  SN2005kc
  -6.67617	   0.10139	  SN2005kc
  -6.67617	   0.13339	  SN2005kc
  -4.70592	   0.00239	  SN2005kc
  -4.69607	   0.01039	  SN2005kc
  -1.79980	   0.06039	  SN2005kc
  -1.78995	   0.05539	  SN2005kc
   3.17508	   0.37339	  SN2005kc
   3.18493	   0.42739	  SN2005kc
   7.07617	   0.97339	  SN2005kc
   7.07617	   0.86439	  SN2005kc
  12.03135	   1.64039	  SN2005kc
  12.03135	   1.62739	  SN2005kc
  15.99155	   1.53439	  SN2005kc
  16.00140	   1.57239	  SN2005kc
  19.92219	   1.41039	  SN2005kc
  19.93205	   1.40939	  SN2005kc
  -6.93913	  -0.00094	  SN2005eq
   1.71977	   0.27306	  SN2005eq
   1.72948	   0.19206	  SN2005eq
   5.59732	   0.46406	  SN2005eq
   5.60704	   0.44906	  SN2005eq
   9.49431	   1.01106	  SN2005eq
  13.41073	   1.46306	  SN2005eq
  13.41073	   1.48106	  SN2005eq
  17.31743	   1.46306	  SN2005eq
  22.18624	   1.47506	  SN2005eq
  22.18624	   1.42606	  SN2005eq
  30.92288	   0.99606	  SN2005eq
  30.93259	   1.14306	  SN2005eq
  36.68575	   1.00906	  SN2005eq
  36.69547	   0.85106	  SN2005eq
  45.40295	   1.72306	  SN2005eq
  45.41267	   1.80706	  SN2005eq
  54.18818	   1.92406	  SN2005eq
  -1.04019	   0.05106	  SN2005eq
  -1.85607	  -0.17175	  SN2008ia
  -1.85607	  -0.07975	  SN2008ia
  -0.77965	  -0.06575	  SN2008ia
  -0.76986	  -0.19075	  SN2008ia
   2.10713	   0.52625	  SN2008ia
   2.11692	   0.52125	  SN2008ia
   3.06613	   0.55925	  SN2008ia
   3.07592	   0.53825	  SN2008ia
  19.65288	   1.65225	  SN2008ia
  19.66267	   1.38325	  SN2008ia
  26.51265	   1.20325	  SN2008ia
  26.52244	   1.23825	  SN2008ia
  27.44229	   1.34025	  SN2008ia
  27.45208	   1.32025	  SN2008ia
  29.41900	   1.51325	  SN2008ia
  29.42879	   1.52225	  SN2008ia
  57.81709	   3.85925	  SN2008ia
  59.72530	   3.67725	  SN2008ia
  -5.88179	   0.09612	  SN2009aa
  -5.87205	   0.05112	  SN2009aa
  -4.92783	   0.02812	  SN2009aa
  -4.91810	   0.04612	  SN2009aa
  75.74967	   3.41912	  SN2009aa
  -6.20011	   0.10918	  SN2008ar
  -6.20985	   0.13918	  SN2008ar
   1.60615	   0.40818	  SN2008ar
   1.59640	   0.47218	  SN2008ar
   4.52010	   0.61818	  SN2008ar
   9.37342	   1.32218	  SN2008ar
   9.38317	   1.47018	  SN2008ar
  -7.36167	   0.31507	  SN2008hj
  -7.35204	   0.20607	  SN2008hj
  -5.44434	   0.23407	  SN2008hj
  -5.44434	   0.28107	  SN2008hj
  -2.57316	   0.24507	  SN2008hj
   4.20013	   0.69707	  SN2008hj
   4.20977	   0.77307	  SN2008hj
  -4.22925	   0.01502	  SN2006bh
  -4.22925	   0.02502	  SN2006bh
  -3.25982	   0.02402	  SN2006bh
  -3.24993	   0.03002	  SN2006bh
  14.54610	   1.81102	  SN2006bh
  14.54610	   1.78302	  SN2006bh
  17.49397	   1.57302	  SN2006bh
  17.49397	   1.50502	  SN2006bh
  21.49040	   1.35102	  SN2006bh
  21.50030	   1.29002	  SN2006bh
  26.40682	   1.43202	  SN2006bh
  26.40682	   1.31102	  SN2006bh
  29.39425	   1.65002	  SN2006bh
  29.40414	   1.69602	  SN2006bh
  30.35379	   1.79702	  SN2006bh
  30.36369	   1.76902	  SN2006bh
  34.31066	   2.26002	  SN2006bh
  34.32056	   2.04002	  SN2006bh
   9.60001	   1.68702	  SN2006bh
   9.60990	   1.66902	  SN2006bh
  12.58745	   1.80602	  SN2006bh
  12.59734	   1.78602	  SN2006bh
  -0.56471	   0.25415	  SN2006os
  -0.55503	   0.05415	  SN2006os
   6.18394	   0.88315	  SN2006os
  12.99068	   1.44415	  SN2006os
  18.79044	   1.42415	  SN2006os
   2.37875	   0.41815	  SN2006os
   2.38843	   0.41815	  SN2006os
   9.16612	   1.32415	  SN2006os
   9.17580	   1.31915	  SN2006os
  -0.96118	   0.16254	  SN2008gl
  -0.95151	   0.13854	  SN2008gl
   0.91503	   0.42654	  SN2008gl
   0.92470	   0.25154	  SN2008gl
   2.85894	   0.46554	  SN2008gl
   2.86861	   0.41154	  SN2008gl
   9.61909	   1.54054	  SN2008gl
   9.62876	   1.57354	  SN2008gl
  13.49723	   1.69354	  SN2008gl
  19.29027	   1.33554	  SN2008gl
  19.29994	   1.34754	  SN2008gl
  27.03689	   1.18854	  SN2008gl
  27.04656	   1.23554	  SN2008gl
  30.90536	   1.29054	  SN2008gl
  30.91503	   1.36754	  SN2008gl
 -10.32233	   0.43708	  SN2007ca
 -10.31246	   0.40508	  SN2007ca
   0.48529	   0.03608	  SN2007ca
   0.49515	   0.09008	  SN2007ca
   5.44535	   0.50608	  SN2007ca
   5.45521	   0.49808	  SN2007ca
   9.46862	   1.01208	  SN2007ca
  10.36597	   1.20408	  SN2007ca
  10.37583	   1.27308	  SN2007ca
  30.12733	   1.16208	  SN2007ca
  30.13720	   1.14908	  SN2007ca
  -3.35063	  -0.00292	  SN2007ca
  -3.34077	   0.01008	  SN2007ca
  26.23226	   1.42008	  SN2007ca
  26.23226	   1.42408	  SN2007ca
   2.63802	   0.48327	  SN2006ob
   2.65690	   0.52827	  SN2006ob
  -2.81210	   0.06913	   SN2009D
  -2.80234	   0.06313	   SN2009D
  -1.80722	   0.11613	   SN2009D
  -1.79746	   0.12113	   SN2009D
   0.10498	   0.18013	   SN2009D
   0.11473	   0.21413	   SN2009D
  -2.57113	   0.02934	  SN2005iq
  -2.56146	  -0.16966	  SN2005iq
  -1.56533	   0.01934	  SN2005iq
  -1.55566	   0.02534	  SN2005iq
   0.35924	   0.12934	  SN2005iq
   0.35924	   0.11734	  SN2005iq
   4.17935	   0.70834	  SN2005iq
   4.16968	   0.67634	  SN2005iq
   8.08651	   1.24334	  SN2005iq
  26.50044	   1.42434	  SN2005iq
  32.27413	   1.55334	  SN2005iq
  32.28380	   1.43134	  SN2005iq
  -4.14829	   0.00081	  SN2004ey
  -4.13844	   0.07081	  SN2004ey
  -3.11462	  -0.00619	  SN2004ey
  -3.10477	   0.00681	  SN2004ey
   1.79777	   0.30881	  SN2004ey
   1.79777	   0.31481	  SN2004ey
   6.64124	   0.79881	  SN2004ey
   6.64124	   0.76781	  SN2004ey
  22.43175	   1.62281	  SN2004ey
  22.44159	   1.56481	  SN2004ey
  33.25081	   1.14181	  SN2004ey
  33.25081	   1.13781	  SN2004ey
  37.15906	   1.53481	  SN2004ey
  37.16890	   1.42681	  SN2004ey
  -5.74307	  -0.01804	  SN2005hc
  -5.73351	   0.08396	  SN2005hc
  -2.92254	   0.03596	  SN2005hc
  -2.92254	   0.04896	  SN2005hc
   0.88280	   0.32996	  SN2005hc
   0.89236	   0.19996	  SN2005hc
   2.83327	   0.41696	  SN2005hc
   2.84283	   0.38996	  SN2005hc
   4.79331	   0.70496	  SN2005hc
  35.27423	   0.88496	  SN2005hc
  45.95746	   2.18750	  SN2009ag
  68.80100	   3.74850	  SN2009ag
  68.81092	   3.60350	  SN2009ag
   3.78410	   0.23884	  SN2006gj
   7.60557	   0.78984	  SN2006gj
  12.50639	   1.32884	  SN2006gj
