       Día	    Jmax-1	    Jmax-2	    Jmax-3	    Jmax-4	    Jmax-5	    Hmax-1	    Hmax-2	    Hmax-3	    Hmax-4	    Hmax-5	    Nombre
  -9.76162	   0.05431	   0.08177	   0.07808	   0.09023	   0.08314	  -0.01524	       nan	  -0.04717	  -0.16407	  -0.18377	  SN2008gp
  -9.75162	   0.13161	   0.15907	   0.15538	   0.16753	   0.16044	   0.33950	       nan	   0.30757	   0.19067	   0.17097	  SN2008gp
  -7.81162	  -0.00995	   0.01751	   0.01382	   0.02597	   0.01888	   0.21981	       nan	   0.18788	   0.07098	   0.05128	  SN2008gp
  -7.80162	   0.03462	   0.06208	   0.05839	   0.07054	   0.06345	   0.33017	       nan	   0.29824	   0.18134	   0.16164	  SN2008gp
  -0.78162	  -0.11772	  -0.09026	  -0.09395	  -0.08180	  -0.08889	   0.11947	       nan	   0.08754	  -0.02936	  -0.04906	  SN2008gp
   1.16838	  -0.02971	  -0.00225	  -0.00594	   0.00621	  -0.00088	       nan	       nan	       nan	       nan	       nan	  SN2008gp
   1.16838	  -0.03585	  -0.00839	  -0.01208	   0.00007	  -0.00702	   0.28150	       nan	   0.24957	   0.13267	   0.11297	  SN2008gp
   1.16838	  -0.04602	  -0.01856	  -0.02225	  -0.01010	  -0.01719	   0.20497	       nan	   0.17304	   0.05614	   0.03644	  SN2008gp
   5.15838	  -0.12887	  -0.10141	  -0.10510	  -0.09295	  -0.10004	   0.35108	       nan	   0.31915	   0.20225	   0.18255	  SN2008gp
  12.15838	       nan	       nan	       nan	       nan	       nan	   0.14714	       nan	   0.11521	  -0.00169	  -0.02139	  SN2008gp
  12.15838	  -0.11827	  -0.09081	  -0.09450	  -0.08235	  -0.08944	   0.09876	       nan	   0.06683	  -0.05007	  -0.06977	  SN2008gp
  12.16838	  -0.01313	   0.01433	   0.01064	   0.02279	   0.01570	  -0.05304	       nan	  -0.08497	  -0.20187	  -0.22157	  SN2008gp
  15.15838	  -0.17098	  -0.14352	  -0.14721	  -0.13506	  -0.14215	  -0.02244	       nan	  -0.05437	  -0.17127	  -0.19097	  SN2008gp
  21.14838	       nan	       nan	       nan	       nan	       nan	   0.07459	       nan	   0.04266	  -0.07424	  -0.09394	  SN2008gp
  21.14838	  -0.20337	  -0.17591	  -0.17960	  -0.16745	  -0.17454	  -0.00139	       nan	  -0.03332	  -0.15022	  -0.16992	  SN2008gp
  21.15838	  -0.00279	   0.02467	   0.02098	   0.03313	   0.02604	   0.28491	       nan	   0.25298	   0.13608	   0.11638	  SN2008gp
  33.01838	  -0.10876	  -0.08130	  -0.08499	  -0.07284	  -0.07993	   0.04589	       nan	   0.01396	  -0.10294	  -0.12264	  SN2008gp
  33.02838	  -0.14283	  -0.11537	  -0.11906	  -0.10691	  -0.11400	   0.07100	       nan	   0.03907	  -0.07783	  -0.09753	  SN2008gp
  -1.20200	       nan	       nan	       nan	       nan	       nan	   0.31683	  -0.01225	   0.18338	   0.05545	   0.04503	   SN2009Y
  -4.21200	   0.16009	       nan	   0.04413	  -0.02540	  -0.00715	       nan	       nan	       nan	       nan	       nan	   SN2009Y
  -1.19200	       nan	       nan	       nan	       nan	       nan	   0.28448	  -0.04460	   0.15103	   0.02310	   0.01268	   SN2009Y
  10.78800	       nan	       nan	       nan	       nan	       nan	   0.27850	  -0.05058	   0.14505	   0.01712	   0.00670	   SN2009Y
